,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
50,ALP,T,ALLENWOOD USP,O,Allenwood USP,41.128455655130786,-76.91230058670044,,,"RT 15,2 MILES N OF ALLENWOOD",,ALLENWOOD,PA,17810,254.0,41.128455655130786,-76.91430058670043
51,ASH,T,ASHLAND FCI,O,Ashland FCI,38.43626194850654,-82.70134449005127,FCI,Low,ST. ROUTE 716,,ASHLAND,KY,41105,1322.0,38.43626194850654,-82.70134449005127
52,ATL,T,ATLANTA USP,O,Atlanta USP,33.711463,-84.371153,FCI,Low,601 MCDONOUGH BLVD SE,,ATLANTA,GA,30315,1869.0,33.711463,-84.371153
53,ATW,T,ATWATER USP,O,Atwater USP,37.38309935091961,-120.55909395217896,USP,High,1 FEDERAL WAY,,ATWATER,CA,95301,1223.0,37.38309935091961,-120.55909395217896
54,BAS,T,BASTROP FCI,O,Bastrop FCI,30.192914965504624,-97.30746388435364,FCI,Low,1341 HIGHWAY 95 NORTH,,BASTROP,TX,78602,1130.0,30.192914965504624,-97.30746388435364
55,BMA,T,BEAUMONT ADMIN,P,Beaumont Admin,,,,,,,,,,,,
56,BML,T,BEAUMONT LOW FCI,O,Beaumont Low FCI,29.963523369409856,-94.07785892486572,,,5560 KNAUTH ROAD,,BEAUMONT,TX,77705,2154.0,29.963523369409856,-94.07585892486573
57,BMM,T,BEAUMONT MED FCI,O,Beaumont Med FCI,29.963523369409856,-94.07785892486572,,,5830 KNAUTH ROAD,,BEAUMONT,TX,77705,1608.0,29.965255420217424,-94.07885892486573
58,BMP,T,BEAUMONT USP,O,Beaumont USP,29.963523369409856,-94.07785892486572,,,6200 KNAUTH ROAD,,BEAUMONT,TX,77705,1365.0,29.961791318602288,-94.07885892486573
59,BEC,T,BECKLEY FCI,O,Beckley FCI,37.808292105520145,-81.12555742263794,FCI,Medium,1600 INDUSTRIAL ROAD,,BEAVER,WV,25813,1699.0,37.808292105520145,-81.12555742263794
60,BEN,T,BENNETTSVILLE FCI,O,Bennettsville FCI,34.67387626588273,-79.72460746765137,FCI,Medium,696 MUCKERMAN ROAD,,BENNETTSVILLE,SC,29512,1576.0,34.67387626588273,-79.72460746765137
61,BER,T,BERLIN FCI,O,Berlin FCI,44.52254966316118,-71.13761186599731,FCI,Medium,1 SUCCESS LOOP ROAD,,BERLIN,NH,03570,982.0,44.52254966316118,-71.13761186599731
62,BSY,T,BIG SANDY USP,O,Big Sandy USP,37.84246141054429,-82.53667831420898,USP,High,1197 AIRPORT ROAD,,INEZ,KY,41224,1264.0,37.84246141054429,-82.53667831420898
63,BSC,T,BIG SPRING CI,O,Big Spring CI,,,,,,,,,,,,
64,BIG,T,BIG SPRING FCI,O,Big Spring FCI,32.22123811076942,-101.50749206542969,FCI,Low,1900 SIMLER AVE,,BIG SPRING,TX,79720,807.0,32.22123811076942,-101.50749206542969
65,BRO,T,BROOKLYN MDC,O,Brooklyn MDC,40.66022101614251,-74.00356829166412,MDC,Administrative,80 29TH STREET,,BROOKLYN,NY,11232,1188.0,40.66022101614251,-74.00356829166412
66,BRY,T,BRYAN FPC,O,Bryan FPC,30.676010684831894,-96.36138439178467,FPC,Minimum,1100 URSULINE AVENUE,,BRYAN,TX,77803,639.0,30.676010684831894,-96.36138439178467
67,BUH,T,BUTNER FMC,O,Butner FMC,36.138212637486205,-78.79944920539856,,,OLD N. CAROLINA HWY 75,,BUTNER,NC,27509,869.0,36.138212637486205,-78.79744920539856
68,BUF,T,BUTNER LOW FCI,O,Butner Low FCI,36.138212637486205,-78.79944920539856,,,OLD NC HWY 75,,BUTNER,NC,27509,970.0,36.14021263748621,-78.79944920539856
69,BUT,T,BUTNER MED I FCI,O,Butner Med I FCI,36.138212637486205,-78.79944920539856,,,OLD NC HWY 75,,BUTNER,NC,27509,819.0,36.138212637486205,-78.80144920539855
70,BTF,T,BUTNER MED II FCI,O,Butner Med II FCI,36.138212637486205,-78.79944920539856,,,OLD NC HWY 75,,BUTNER,NC,27509,1577.0,36.1362126374862,-78.79944920539856
71,CAA,T,CANAAN USP,O,Canaan USP,41.56763099525645,-75.40834307670593,USP,High,3057 ERIC J. WILLIAMS,MEMORIAL DRIVE,WAYMART,PA,18472,1351.0,41.56763099525645,-75.40834307670593
72,CRW,T,CARSWELL FMC,O,Carswell FMC,32.78538039249088,-97.41971969604492,FMC,Administrative,NAVAL AIR STATION,1200 MEANDERING ROAD,FORT WORTH,TX,76114,1199.0,32.78538039249088,-97.41971969604492
73,CCC,T,CHICAGO MCC,O,Chicago MCC,41.876665007896996,-87.63018518686295,MCC,Administrative,71 WEST VAN BUREN STREET,,CHICAGO,IL,60605,503.0,41.876665007896996,-87.63018518686295
74,CIB,T,CIBOLA COUNTY CI,O,Cibola County CI,,,,,,,,,,,,
75,COA,T,COLEMAN ADMIN,P,Coleman Admin,,,,,,,,,,,,
76,COP,T,COLEMAN I USP,O,Coleman I USP,28.755825012996887,-82.0135349035263,,,846 NE 54TH TERRACE,,SUMTERVILLE,FL,33521,1332.0,28.755825012996887,-82.01153490352631
77,CLP,T,COLEMAN II USP,O,Coleman II USP,28.755825012996887,-82.0135349035263,,,846 NE 54TH TERRACE,,SUMTERVILLE,FL,33521,1087.0,28.757825012996886,-82.0135349035263
78,COL,T,COLEMAN LOW FCI,O,Coleman Low FCI,28.755825012996887,-82.0135349035263,,,846 NE 54TH TERRACE,,SUMTERVILLE,FL,33521,2045.0,28.755825012996887,-82.0155349035263
79,COM,T,COLEMAN MED FCI,O,Coleman Med FCI,28.755825012996887,-82.0135349035263,,,846 NE 54TH TERRACE,,SUMTERVILLE,FL,33521,1488.0,28.753825012996888,-82.0135349035263
80,CUM,T,CUMBERLAND FCI,O,Cumberland FCI,39.59560288583264,-78.754141330719,FCI,Medium,14601 BURBRIDGE RD SE,,CUMBERLAND,MD,21502,1012.0,39.59560288583264,-78.754141330719
81,DRJ,T,D. RAY JAMES CORR FACL CI,O,D. Ray James Correctional Facility CI,,,,,,,,,,,,
82,DAL,T,DALBY CI,O,Dalby CI,,,,,,,,,,,,
83,DAN,T,DANBURY FCI,O,Danbury FCI,41.4406915868142,-73.47323656082153,FCI,Low,33 1/2 PEMBROKE STATION,ROUTE 37,DANBURY,CT,06811,1258.0,41.4406915868142,-73.47323656082153
84,DEV,T,DEVENS FMC,O,Devens FMC,42.52879629320373,-71.62627816200256,FMC,Administrative,42 PATTON ROAD,,AYER,MA,01432,1073.0,42.52879629320373,-71.62627816200256
85,DUB,T,DUBLIN FCI,O,Dublin FCI,37.71593179457435,-121.88796758651733,FCI,Low,5701 8TH ST - CAMP PARKS,,DUBLIN,CA,94568,0.0,37.71593179457435,-121.88796758651733
86,DTH,T,DULUTH FPC,O,Duluth FPC,46.8342697,-92.1958948,FPC,Minimum,4464 RALSTON DRIVE,,DULUTH,MN,55811,712.0,46.8342697,-92.1958948
87,EDN,T,EDEN CI,O,Eden CI,,,,,,,,,,,,
88,EDG,T,EDGEFIELD FCI,O,Edgefield FCI,33.760097075210616,-81.9198989868164,FCI,Medium,501 GARY HILL ROAD,,EDGEFIELD,SC,29824,1918.0,33.760097075210616,-81.9198989868164
89,ERE,T,EL RENO FCI,O,El Reno FCI,35.537063059389546,-98.00233840942383,FCI,Medium,4205 HIGHWAY 66 WEST,,EL RENO,OK,73036,1182.0,35.537063059389546,-98.00233840942383
90,ELK,T,ELKTON FCI,O,Elkton FCI,40.76804545819932,-80.7119607925415,FCI,Low,8730 SCROGGS ROAD,,LISBON,OH,44432,2012.0,40.76804545819932,-80.7119607925415
91,ENG,T,ENGLEWOOD FCI,O,Englewood FCI,39.63874440886546,-105.10702729225159,FCI,Low,9595 WEST QUINCY AVENUE,,LITTLETON,CO,80123,962.0,39.63874440886546,-105.10702729225159
92,EST,T,ESTILL FCI,O,Estill FCI,32.71999903656538,-81.25186800956726,FCI,Medium,100 PRISON ROAD,,ESTILL,SC,29918,42.0,32.71999903656538,-81.25186800956726
93,FAI,T,FAIRTON FCI,O,Fairton FCI,39.38979954241257,-75.15979886054993,FCI,Medium,655 FAIRTON-MILLVILLE ROAD,,FAIRTON,NJ,08320,794.0,39.38979954241257,-75.15979886054993
94,FLM,T,FLORENCE ADMAX USP,O,Florence ADMAX USP,38.3614873975681,-105.10712921619415,,,5880 HWY 67 SOUTH,,FLORENCE,CO,81226,348.0,38.3614873975681,-105.10512921619416
95,FLF,T,FLORENCE FCI,O,Florence FCI,38.3614873975681,-105.10712921619415,,,5880 HWY 67 SOUTH,,FLORENCE,CO,81226,1431.0,38.363219448375666,-105.10812921619416
96,FLP,T,FLORENCE HIGH USP,O,Florence High USP,38.3614873975681,-105.10712921619415,,,5880 HWY 67 S,,FLORENCE,CO,81226,782.0,38.35975534676053,-105.10812921619416
97,FOR,T,FORREST CITY FCI,O,Forrest City FCI,34.979139884580924,-90.81344962120056,,,1400 DALE BUMPERS ROAD,,FORREST CITY,AR,72335,1864.0,34.979139884580924,-90.81144962120057
98,FOM,T,FORREST CITY MED FCI,O,Forrest City Med FCI,34.979139884580924,-90.81344962120056,,,1400 DALE BUMPERS ROAD,,FORREST CITY,AR,72335,1629.0,34.979139884580924,-90.81544962120056
99,FTD,T,FORT DIX FCI,O,Fort Dix FCI,40.00005428525468,-74.60862636566162,FCI,Low,5756 HARTFORD &,POINTVILLE RD,JOINT BASE MDL,NJ,08640,4055.0,40.00005428525468,-74.60862636566162
