,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
132,MIL,T,MILAN FCI,O,Milan FCI,42.098914993554835,-83.66956830024719,FCI,Low,4004 EAST ARKONA ROAD,,MILAN,MI,48160,1580.0,42.098914993554835,-83.66956830024719
133,MON,T,MONTGOMERY FPC,O,Montgomery FPC,32.3920136112194,-86.35764867067337,FPC,Minimum,MAXWELL AIR FORCE BASE,,MONTGOMERY,AL,36112,783.0,32.3920136112194,-86.35764867067337
134,MRG,T,MORGANTOWN FCI,O,Morgantown FCI,39.60530793983782,-79.95054602622986,FPC,Minimum,"446 GREENBAG ROAD, ROUTE 857",,MORGANTOWN,WV,26501,395.0,39.60530793983782,-79.95054602622986
135,MVC,T,MOSHANNON VALLEY CI,O,Moshannon Valley CI,,,,,,,,,,,,
136,NYM,T,NEW YORK MCC,O,New York MCC,40.71301045194647,-74.00105774402618,MCC,Administrative,150 PARK ROW,,NEW YORK,NY,10007,0.0,40.71301045194647,-74.00105774402618
137,OAK,T,OAKDALE I FCI,O,Oakdale I FCI,30.832138156154823,-92.64348328113556,,,1507 EAST WHATLEY ROAD,,OAKDALE,LA,71463,975.0,30.832138156154823,-92.64148328113556
138,OAD,T,OAKDALE II FCI,O,Oakdale II FCI,30.832138156154823,-92.64348328113556,,,2105 EAST WHATLEY ROAD,,OAKDALE,LA,71463,1192.0,30.832138156154823,-92.64548328113555
139,OKL,T,OKLAHOMA CITY FTC,O,Oklahoma City FTC,35.39205872746594,-97.61861085891724,FTC,Administrative,7410 S. MACARTHUR BLVD,,OKLAHOMA CITY,OK,73169,1458.0,35.39205872746594,-97.61861085891724
140,OTV,T,OTISVILLE FCI,O,Otisville FCI,41.476777534148226,-74.53333675861359,FCI,Medium,TWO MILE DRIVE,,OTISVILLE,NY,10963,903.0,41.476777534148226,-74.53333675861359
141,OXF,T,OXFORD FCI,O,Oxford FCI,43.86168895704511,-89.64906513690948,FCI,Low,COUNTY ROAD G & ELK AVENUE,,OXFORD,WI,53952,1145.0,43.86168895704511,-89.64906513690948
142,PEK,T,PEKIN FCI,O,Pekin FCI,40.538068780531134,-89.66444492340088,FCI,Medium,2600 S. SECOND ST.,,PEKIN,IL,61554,1287.0,40.538068780531134,-89.66444492340088
143,PEN,T,PENSACOLA FPC,O,Pensacola FPC,30.463596043879626,-87.34315931797028,FPC,Minimum,110 RABY AVE,,PENSACOLA,FL,32509,491.0,30.463596043879626,-87.34315931797028
144,PET,T,PETERSBURG FCI,O,Petersburg FCI,37.29818430631364,-77.34108924865723,,,1100 RIVER ROAD,,HOPEWELL,VA,23860,613.0,37.29818430631364,-77.33908924865723
